scenario,size,seed,policy,budget,retained_count,retained_ratio,exact_recall_at_1,exact_recall_at_5,recall_at_1,recall_at_5,mrr,exact_mrr,target_fact_retained,superseded_fact_at_1,index_bytes,selection_seconds,index_build_seconds,retrieved_tokens,dedup_representatives,samples,query_p50_ms,query_p95_ms,search_p50_ms,search_p95_ms,retrieval_p50_ms,retrieval_p95_ms
old,100,11,importance,0.25,25,0.25,0.1388888888888889,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.27546296296296297,0.22106481481481477,0.3333333333333333,0.1111111111111111,230445,1.7512999875179958e-05,0.008439860999715165,61.291666666666664,,360,34.63453500012292,37.05094339966308,0.0040424999951937934,0.004519949970926973,34.63841699999648,37.05484189981689
old,100,11,full,1.0,100,1.0,0.4444444444444444,1.0,0.7777777777777778,1.0,0.886574074074074,0.693287037037037,1.0,0.2222222222222222,921645,1.9540002540452406e-06,0.004139170000144077,60.81944444444444,,360,34.63453500012292,37.05094339966308,0.010399000075267395,0.011442500408520573,34.64479950025634,37.06139624932803
old,100,11,recency,0.5,50,0.5,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3333333333333333,0.3888888888888889,0.0,460845,3.399299976081238e-05,0.0033597290002944646,64.47222222222223,,360,34.63453500012292,37.05094339966308,0.005951499815637362,0.006422499859581876,34.640505999959714,37.056882899605625
old,100,11,importance,0.75,75,0.75,0.2777777777777778,0.7222222222222222,0.5138888888888888,0.7222222222222222,0.6157407407407407,0.47337962962962965,0.7222222222222222,0.20833333333333334,691245,1.9706999864865793e-05,0.003403078999781428,61.19444444444444,,360,34.63453500012292,37.05094339966308,0.007934999985081959,0.008787449837655004,34.64196400000219,37.058444949298064
old,100,11,semantic_dedup,0.5,50,0.5,0.16666666666666666,0.16666666666666666,0.3472222222222222,0.3888888888888889,0.3680555555555556,0.16666666666666666,0.3888888888888889,0.3055555555555556,460845,0.0006850469999335473,0.003271474000030139,62.638888888888886,62,360,34.63453500012292,37.05094339966308,0.005940999926679069,0.006505999908767991,34.640535999869826,37.05670944934809
old,100,11,semantic_dedup,0.75,75,0.75,0.3611111111111111,0.3888888888888889,0.5138888888888888,0.6666666666666666,0.5902777777777778,0.375,0.6666666666666666,0.375,691245,0.0006850859999758541,0.0032101800002237724,62.083333333333336,62,360,34.63453500012292,37.05094339966308,0.007934999985081959,0.008557000001019333,34.642589999975826,37.05886689997442
old,100,11,recency,0.25,25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230445,1.7422999917471316e-05,0.0028920869999637944,66.06944444444444,,360,34.63453500012292,37.05094339966308,0.004038000042783096,0.004449449784260651,34.6385420000388,37.05483839958106
old,100,11,semantic_dedup,0.25,25,0.25,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0,230445,0.0006846749997748702,0.0024210789997596294,66.33333333333333,62,360,34.63453500012292,37.05094339966308,0.004007000143246842,0.00447804995928891,34.63856750022387,37.054848949924235
old,100,11,importance,0.5,50,0.5,0.2222222222222222,0.5,0.3194444444444444,0.5,0.4074074074074074,0.33912037037037035,0.5,0.18055555555555555,460845,1.901500036183279e-05,0.0028335680003692687,61.15277777777778,,360,34.63453500012292,37.05094339966308,0.0059210001381870825,0.006402450048881292,34.64011549999668,37.056642899960934
old,100,11,recency,0.75,75,0.75,0.5416666666666666,0.7222222222222222,0.5694444444444444,0.7222222222222222,0.6458333333333334,0.6273148148148148,0.7222222222222222,0.1527777777777778,691245,1.6450999737571692e-05,0.0031588140000167186,61.888888888888886,,360,34.63453500012292,37.05094339966308,0.007969500074977987,0.008546499680051056,34.64260500027194,37.058468949544476
