condition,n,exact_match,seed_sd,f1,utility,positive,negative,recall,retrieval_misses,pruned_target,hit_but_wrong,memory_tokens
no_memory,54,0,0.0,0.0,0,0,0,,,,,0
relevant,54,1,0.0,1.0,1,54,0,,,,,11.722222222222221
irrelevant,54,0.24074074074074073,0.05237828008789242,0.24074074074074073,0.24074074074074073,13,0,,,,,13.555555555555555
conflicting,54,1,0.0,1.0,1,54,0,,,,,24.87037037037037
consolidation_strip_temporal_cue,54,0.35185185185185186,0.09442628728875527,0.41667822917822916,0.35185185185185186,19,0,,,,,9.722222222222221
retrieved:full-1:k1,54,0.6296296296296297,0.06928995160692482,0.6296296296296297,0.6296296296296297,34,0,0.6296296296296297,20,0,0,11.666666666666666
retrieved:full-1:k3,54,0.8888888888888888,0.04536092116265142,0.9124881291547958,0.8888888888888888,48,0,1,0,0,6,38.72222222222222
retrieved:full-1:k5,54,0.9444444444444444,0.04536092116265147,0.9444444444444444,0.9444444444444444,51,0,1,0,0,3,67.96296296296296
retrieved:semantic_dedup-0.5:k1,54,0.2962962962962963,0.02618914004394619,0.2962962962962963,0.2962962962962963,16,0,0.2962962962962963,38,26,0,11.833333333333334
retrieved:semantic_dedup-0.5:k3,54,0.5925925925925926,0.026189140043946218,0.6050807217473884,0.5925925925925926,32,0,0.5185185185185185,26,26,3,39.98148148148148
retrieved:semantic_dedup-0.5:k5,54,0.5740740740740741,0.026189140043946218,0.5740740740740741,0.5740740740740741,31,0,0.5185185185185185,26,26,4,69.29629629629629
